request_row_id,request_hash,profile_sim_id,analysis_weight,policy_horizon_months,simulation_month,scenario_id,embedding_row,in_N50,in_N100
53C631FEA280DCA87A343726A8BC9CFD126DE9C8B12943EF0E39E3D4783DFCAC,92CCE47C305350B5B27B3085FCD50CC2A8654EC1A9928D4ED0167DDFB424B6AA,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,0,2021-08,P0,0,False,False
45232621DFE50A5C0CBA05EAB6F918CFCBEA89F04BB51516826C719EBA63C39C,06FA9C707784D3CED05FFFC67DC90FD26DC2C93490F917CDE35E08C5312D1472,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,0,2021-08,P_ABC,1,False,False
BE7E2E89834C879B8F6DABE207FB52B367D0DF1C3996CA4EDE281E01937A3BF4,60D10B5AC2D1E294A5EFE6FFCF85A45F9334D889F882D3205E24F9BB648BA9CC,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,6,2022-02,P0,2,False,False
B9BFAAA46E40617A7E33D22DD728DFAC13F2260CD0C5CA0485F5ED9C0F04C7FB,97B5AD4B2A105F2A213AC7B0F719F9C01A14F1A0CBD2571D19C3FC529E7FEAF2,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,6,2022-02,P_ABC,3,False,False
2E4A73B33D7BE8C359A2F06C2F01074F3BE0C985A1E2CC109E4145A2932830CA,06D089FBF2D8A0092C3B953BD3EAAD54C823D268456E05C688F6D69026A49C2C,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,12,2022-08,P0,4,False,False
888A3EE354F348771898644D079400E867B06A03AF09775CDC9B00A6394CCB7E,63D96000C7149944935A424F6157263BACEE3805E11BEB1E400A9355C04A9E82,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,12,2022-08,P_ABC,5,False,False
3DBD63D7EA77AB9EF3D7327820BAD9B928B2A7DC9CD40D05D752F85ED0FF60E9,06D089FBF2D8A0092C3B953BD3EAAD54C823D268456E05C688F6D69026A49C2C,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,24,2023-08,P0,6,False,False
B2D1E7D990F8FBB17D726F012BFFC230577E6EC9D29FFB1BF61ACF2907205431,1B120783B82703BCD5A5AB6D778D9CBCAB6CEBD44FB512AA85996CEFB7DB5FFE,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,24,2023-08,P_ABC,7,False,False
2BCB84547346931935A68D4DD0A8F4189857C293118EF91871CAE2B94FCD3BF3,06D089FBF2D8A0092C3B953BD3EAAD54C823D268456E05C688F6D69026A49C2C,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,36,2024-08,P0,8,False,False
FEA5AA051E5E4DD26F3D236C82D104903AF13309C28C81F7FD856DCD46EF9A31,00E604BDBAFA3D7CD7242D0FF030C09DC8DC3BD533CEA77B2ABD5DE5BBDD4298,002d346597cb1e401d1f47cc5beff53680aa0ee6fa0cb58f895a8a21738e143f,0.5683367466636435,36,2024-08,P_ABC,9,False,False
4BE78F2B7718936ABD3D654DBBB1EA631FAF8645DBAAE0A6814F5179C623B533,A5B7BBB6E1CBF4FD404D6C1C4299F9C887E10EA79E2259FCDAEDB1AF6D338247,006b034bdf319bcecf9bf1244bdd4058702b2d31eb4c4d08341783bbbc8ad69c,8.146790438029551,0,2021-08,P0,10,False,False
2C9A8E0FF054639D26F4316F81D42ABE4F404EB59773FA3CC5E5360E568A5BD6,6AA7B8B186A14E3D25EEECD2C61977287441BB4348FC3B9F9CE1EC05F84462EF,006b034bdf319bcecf9bf1244bdd4058702b2d31eb4c4d08341783bbbc8ad69c,8.146790438029551,0,2021-08,P_ABC,11,False,False
7CA9AF27F044F4DAD16ECEA70B063D8AD9C33C881F4566463962E713A2E58781,F95DFEF90D414BEDD5B90140A337971C3C368CDED719C86867AE3D0A5549E308,006b034bdf319bcecf9bf1244bdd4058702b2d31eb4c4d08341783bbbc8ad69c,8.146790438029551,6,2022-02,P0,12,False,False
